Date,Country,Bias motivations,Type of incident,Source,Description
2019-01,Russian Federation,Racist and xenophobic hate crime,Violent attacks against people,"Civic Assistance Committee, SOVA Center","A Nigerian man was severely beaten and suffered extensive injuries, requiring hospitalization."
2019-05,Russian Federation,Racist and xenophobic hate crime,Violent attacks against people,Civic Assistance Committee,"A man from the Russian Republic of Kalmykia was subjected to xenophobic insults, beaten and robbed by two perpetrators after they heard the victim speak the Kalmyk language."
2019-09,Ireland,"Racist and xenophobic hate crime, Anti-Muslim hate crime",Threats,European Network Against Racism - Ireland,"A Muslim woman was subjected to racist and anti-Muslim insults, physically assaulted and threatened with future attacks by an acquaintance."
2019-10,Ireland,"Racist and xenophobic hate crime, Anti-Muslim hate crime",Violent attacks against people,European Network Against Racism - Ireland,A Muslim teenage boy of mixed descent was subjected to racist and anti-Muslim insults and physically assaulted at home.
2019-07,Russian Federation,Racist and xenophobic hate crime,Violent attacks against people,Civic Assistance Committee,"Two Kyrgyz men were stabbed with a knife, and one was pepper-sprayed in the face, by a group of neo-Nazis due to their ethnicity. One of the victims died on the spot, while the other suffered hand injuries."
2019-10,Ireland,Racist and xenophobic hate crime,Violent attacks against people,European Network Against Racism - Ireland,Schoolgirls were subjected to racist insults and physically assaulted at school due to their ethnicity.
2019-10,Ireland,Racist and xenophobic hate crime,Violent attacks against people,European Network Against Racism - Ireland,A foreign national was subjected to insults and physically assaulted in the street due to their ethnicity.
2019-10,Ireland,Racist and xenophobic hate crime,Threats,European Network Against Racism - Ireland,An asylum seeker of African descent and a group of children were subjected to racist insults and threatened on a train.
2019-11,Russian Federation,Racist and xenophobic hate crime,Violent attacks against people,Civic Assistance Committee,"An Uzbek man was threatened, pepper-sprayed in the face, pushed to the ground, repeatedly stabbed with a knife and robbed by a group of neo-Nazis. The victim sustained serious injuries to the chest, lower back and buttocks, and required hospitalization."
2019-10,Ireland,Anti-Roma hate crime,Threats,European Network Against Racism - Ireland,"An Irish Traveller family was repeatedly subjected to racist insults, harassed and their children were threatened by their neighbours over an eight-year period."
2019-11,Ireland,Racist and xenophobic hate crime,Threats,European Network Against Racism - Ireland,A foreign national was threatened with violence at a bus stop due to their ethnicity.
2019-11,Ireland,"Racist and xenophobic hate crime, Other hate crime based on religion or belief",Threats,European Network Against Racism - Ireland,A man of Eastern European origin was subjected to xenophobic and anti-religious insults and harassed at home by a neighbour.
2019-02,France,Anti-Christian hate crime,Attacks against property,OIDAC,"A roadside crucifix was vandalized when the bottom half was sawn off, damaging the figure of Jesus Christ."
2019-11,Ireland,Racist and xenophobic hate crime,Threats,European Network Against Racism - Ireland,"A woman of Eastern European origin and her two-year-old son were subjected to racist insults, harassed and threatened with violence by a neighbour at a centre for homeless people."
2019-02,France,Anti-Christian hate crime,Attacks against property,"OIDAC, OSCE Office for Democratic Institution and Human Rights",Religious statues in a Catholic church were vandalized when thrown to the ground and damaged three times in one week.
2019-11,Ireland,Racist and xenophobic hate crime,Violent attacks against people,European Network Against Racism - Ireland,"Schoolchildren of African descent, some wearing clothing traditional to their religion or ethnic group, were subjected to racist insults and physically assaulted by a group at school."
2019-11,Ireland,Anti-Muslim hate crime,Violent attacks against people,European Network Against Racism - Ireland,A male Muslim refugee was subjected to anti-Muslim insults and physically assaulted by a group that broke into his apartment. The victim sustained injuries and was hospitalized.
2019-11,Ireland,Anti-Roma hate crime,Violent attacks against people,European Network Against Racism - Ireland,An Irish Traveller man was subjected to racist insults and physically assaulted in a homeless hostel.
2019-11,Ireland,Racist and xenophobic hate crime,Violent attacks against people,European Network Against Racism - Ireland,A man of African descent was subjected to racist insults and physically assaulted at a homeless hostel.
2019-11,Ireland,Anti-Muslim hate crime,Attacks against property,European Network Against Racism - Ireland,A clothes bank belonging to a Muslim rights organization was set on fire after the organization received a series of threats.
2019-11,Ireland,Racist and xenophobic hate crime,Violent attacks against people,European Network Against Racism - Ireland,A Hindu man of South Asian descent was physically assaulted and knocked unconscious in a bar due to his ethnicity.
2019-11,Ireland,Racist and xenophobic hate crime,Attacks against property,European Network Against Racism - Ireland,A family of African descent had their house and garden damaged after they moved into a new neighbourhood.
2019-12,Ireland,Racist and xenophobic hate crime,Violent attacks against people,European Network Against Racism - Ireland,A foreign national was subjected to insults and physically assaulted in the street.
2019-12,Ireland,Anti-Roma hate crime,Threats,European Network Against Racism - Ireland,"A Roma family, including young children, was subjected to racist insults and threatened with violence on a bus."
2019-12,Ireland,Racist and xenophobic hate crime,Threats,European Network Against Racism - Ireland,"A man of African descent was threatened, harassed and subjected to racist insults, images and symbols at his workplace."
2019-12,Ireland,Racist and xenophobic hate crime,Attacks against property,European Network Against Racism - Ireland,A female bus driver of Eastern European origin was subjected to xenophobic insults and had her phone stolen and destroyed on a bus.
2019-12,Ireland,"Racist and xenophobic hate crime, Anti-Muslim hate crime",Violent attacks against people,European Network Against Racism - Ireland,"A Muslim woman, her daughter and the daughter's school friends were subjected to racist insults and pelted with eggs at a bus stop."
2019-12,Ireland,Racist and xenophobic hate crime,Attacks against property,European Network Against Racism - Ireland,A Filipino couple was repeatedly harassed and their property attacked by neighbours due to their ethnicity.
2019-12,Ireland,Racist and xenophobic hate crime,Violent attacks against people,European Network Against Racism - Ireland,A family of Latin American descent was harassed and their teenage son was physically assaulted at a family-friendly event in the city centre.
2019,North Macedonia,Anti-LGBTI hate crime,Violent attacks against people,"Eurasian Coalition on Health, Rights, Gender and Sexual Diversity","A gay man was subjected to insults and threats at his workplace - an HIV counselling centre near a meeting place for gay people - by two perpetrators claiming to be police. The victim was forced to lie on their vehicle, was searched and had his work materials confiscated and thrown on the floor."
2019-06,Kazakhstan,Anti-LGBTI hate crime,Violent attacks against people,Kok.team,"Two gay men were subjected to homophobic insults and threats, beaten and robbed by the lessor of the apartment where they met. The perpetrator also broke into the apartment, filmed the incident and disseminated the video online, after which one of the victims lost his job."
2019-07,Kazakhstan,Anti-LGBTI hate crime,Violent attacks against people,Kok.team,"A gay man was abducted, subjected to homophobic insults, death threats and sustained physical assaults, repeatedly raped, humiliated and blackmailed overnight by two members of an organized hate group during a date arranged via social media. The victim was repeatedly punched in the head and beaten with a metal plate and beer glass, kicked, strangled with a belt and burned with an iron and cigarettes. The perpetrators filmed the naked victim stating his personal and private information, and disclosed his sexual orientation to his friends, relatives and colleagues. The victim suffered multiple serious injuries and required hospitalization."
2019-02,France,Anti-Christian hate crime,Attacks against property,OIDAC,A church was vandalized when the tabernacle was broken and a ciborium was stolen together with the consecrated hosts.
2019-02,France,Anti-Christian hate crime,Attacks against property,OIDAC,"Two churches were vandalized when religious statues were knocked over and smashed, stones were thrown at the stained glass windows, and fonts and nativity scenes were damaged over the course of several months."
2019-01,France,Anti-Christian hate crime,Attacks against property,OIDAC,A roadside crucifix was vandalized with anti-Christian graffiti and stickers.
2019-01,France,Anti-Christian hate crime,Attacks against property,OIDAC,A Diocesan house was vandalized when sprayed with graffiti and the glass windows and doors were smashed. The incident occurred following a pro-life event that drew a few hundred protesters.
2019-01,France,Anti-Christian hate crime,Attacks against property,OIDAC,A church with a wooden frame was targeted in an arson attack at night. The incident forced the evacuation of residents of nearby buildings and caused extensive damage.
2019-01,France,Anti-Christian hate crime,Attacks against property,OIDAC,A church was targeted in an arson attack when a table was set on fire.
2019-12,Germany,Anti-Christian hate crime,Attacks against property,OIDAC,"An Evangelical church was vandalized when purple paint was sprayed on the entrance. At the same time, a minibus owned by the church was set on fire by a masked group."
2019-12,Germany,Racist and xenophobic hate crime,Attacks against property,OIDAC,A Catholic youth centre that provides support to refugee children was vandalized with swastika and neo-Nazi graffiti.
2019-12,Germany,Anti-Christian hate crime,Attacks against property,OIDAC,A church's windows were vandalized when pelted with stones.
2019-12,Germany,Anti-Christian hate crime,Attacks against property,OIDAC,Four churches were vandalized with threatening and anti-Christian graffiti by a group.
2019-11,Germany,Anti-Christian hate crime,Attacks against property,OIDAC,The entrance to a church was vandalized with swastika graffiti.
2019-11,Germany,Anti-Christian hate crime,Attacks against property,OIDAC,"A Catholic church was targeted in arson attacks twice in one week. On the first occasion, religious literature was set on fire, causing smoke damage. Similar attacks against churches in the area had occurred in the same week."
2019-11,Germany,Anti-Christian hate crime,Attacks against property,OIDAC,"A Protestant church was vandalized and targeted in arson attacks twice in one week. Religious literature was scattered, candles were knocked off the altar and the doormat was set alight. Similar attacks against churches in the area had occurred in the same week."
2019-10,Germany,Anti-Christian hate crime,Attacks against property,OIDAC,An Evangelical church was targeted in an arson attack when paper was set on fire next to a wooden shelf.
2019-10,Germany,Anti-Christian hate crime,Attacks against property,OIDAC,"A pregnancy counselling centre was vandalized with paint and butyric acid, and had its locks glued and windows smashed by a group. In a letter claiming responsibility for the attack, the perpetrators described the centre as having a Christian mission."
2019-12,Kazakhstan,Anti-LGBTI hate crime,Violent attacks against people,Kok.team,"A gay man and a transgender woman, who was accepting money for sex, were subjected to homophobic and transphobic insults, beaten, blackmailed and robbed by a group wearing hockey masks and carrying weapons. The incident occurred during a date arranged via social media."
2019-12,Kazakhstan,Anti-LGBTI hate crime,Threats,Kok.team,A gay man and a transgender woman were blackmailed and threatened with having their sexual orientation disclosed. The incident occurred one day after the victims were physically assaulted and robbed by the same perpetrators.
2019-09,France,Anti-Muslim hate crime,Violent attacks against people,OSCE Office for Democratic Institution and Human Rights,"A Muslim woman wearing a headscarf was stabbed several times in the neck, chest and back in front of her husband and children. The victim sustained serious injuries."
2019-09,Germany,Anti-Christian hate crime,Attacks against property,OIDAC,A Catholic church was broken into and had strong-smelling liquids poured into the font and smeared on the top of the altar.
2019-11,Albania,Anti-LGBTI hate crime,Violent attacks against people,OSCE Office for Democratic Institution and Human Rights,A homeless transgender woman was physically assaulted after being recognized as a participant of an LGBTI pride event that had taken place a few days prior. The victim sustained injuries.
2019-02,Belarus,Anti-Semitic hate crime,Violent attacks against people,OSCE Office for Democratic Institution and Human Rights,"An opposition activist protesting at a memorial site was subjected to anti-Semitic insults, threatened and punched in the nose. The victim sustained injuries. Police present at the scene did not intervene."
2019-09,Germany,Anti-Christian hate crime,Attacks against property,OIDAC,"A church was vandalized when religious objects were destroyed, candle wax was poured on the floor and benches, and rubbish and hymn books were scattered around."
2019-09,Germany,Anti-Christian hate crime,Attacks against property,OIDAC,A church's facade was vandalized when sprayed with black paint.
2019-08,Germany,Anti-Christian hate crime,Attacks against property,OIDAC,"A church was targeted in an arson attack when hymn books and a cushion were set on fire, causing extensive smoke damage."
2019-08,Germany,Anti-Christian hate crime,Attacks against property,OIDAC,A church was targeted in an arson attack when newspapers were set on fire at the front entrance.
2019-08,Germany,Anti-Christian hate crime,Attacks against property,OIDAC,A Catholic church was vandalized with anti-Christian graffiti.
2019-07,Germany,Anti-Christian hate crime,Attacks against property,OIDAC,"An 800-year-old Evangelical church was targeted in an arson attack when an area near the altar was set on fire, damaging a pew."
2019-07,Germany,Anti-Christian hate crime,Attacks against property,OIDAC,"A church was targeted in an arson attack when a cloth was set on fire, damaging pictures and a wooden cross."
2019-07,Germany,Anti-Christian hate crime,Attacks against property,OIDAC,"The premises of a Protestant church were vandalized when graffiti was sprayed on a bench, an exterior wall and windows."
2019-05,United Kingdom,Racist and xenophobic hate crime,Threats,OSCE Office for Democratic Institution and Human Rights,A woman of South Asian descent was repeatedly subjected to racist insults and threatened on a train. The perpetrator was convicted of a racially aggravated offence.
2019-08,Bosnia and Herzegovina,"Racist and xenophobic hate crime, Anti-Christian hate crime",Threats,OSCE Office for Democratic Institution and Human Rights,"A Serbian Orthodox priest, whose family members are the only Serb inhabitants of the town, was threatened online due to his ethnicity and religion. The same perpetrator had previously threatened Serbs from a nearby town for their participation in a religious ceremony."
2019-08,Bosnia and Herzegovina,"Anti-Roma hate crime, Anti-Muslim hate crime",Violent attacks against people,OSCE Office for Democratic Institution and Human Rights,A Roma man was subjected to anti-Muslim insults and physically assaulted. A police officer present at the scene did not intervene.
2019-04,Bulgaria,"Racist and xenophobic hate crime, Anti-Roma hate crime",Violent attacks against people,OSCE Office for Democratic Institution and Human Rights,"One Roma woman, two Roma men and one Roma teenage boy were subjected to racist insults, threatened with guns, robbed, beaten with blunt objects and humiliated by police officers while in detention. The victims sustained extensive injuries, including bruising and abrasions."
2019-12,Kazakhstan,Anti-LGBTI hate crime,Violent attacks against people,Kok.team,"A gay man was beaten by his parents after he disclosed his sexual orientation. As a result of the beating, the victim suffered an epileptic fit, lost consciousness, sustained head injuries and required hospitalization. This was one of a series of incidents against the victim."
2019,Croatia,Racist and xenophobic hate crime,Violent attacks against people,OSCE Office for Democratic Institution and Human Rights,"An Afghan migrant boy was robbed, beaten, forced to undress and subjected to electroshock by a group of border police officers while detained in a dark room. The victim lost consciousness and sustained a fractured rib, internal bleeding and a subdural haematoma. Previous incidents targeting migrants at the border had previously occurred."
2019-05,Croatia,Racist and xenophobic hate crime,Attacks against property,OSCE Office for Democratic Institution and Human Rights,"Walls near the offices of a Croatian football fan club were vandalized with xenophobic, threatening and anti-Serb graffiti. Members of the fan club had previously been implicated in anti-Serb incidents."
2019-03,Bulgaria,Anti-LGBTI hate crime,Attacks against property,OSCE Office for Democratic Institution and Human Rights,The headquarters of an LGBTI-rights organization was vandalized with homophobic graffiti. This was one in a series of incidents targeting the city's LGBTI community.
2019-04,Russian Federation,Anti-LGBTI hate crime,Violent attacks against people,"""Coming Out"" LGBT Group, Russian LGBT Network, SOVA Center",A transgender woman was strangled to death after her gender identity was revealed. The perpetrator then dismembered the corpse and disposed of it in rubbish bins.
2019-03,Bulgaria,Anti-LGBTI hate crime,Violent attacks against people,OSCE Office for Democratic Institution and Human Rights,An LGBTI activist was pushed and a rainbow flag was vandalized and stolen during an attack against an LGBTI community centre by a perpetrator with a shaved head. The incident occurred following the publication of a report on LGBTI issues.
2019-03,Croatia,Racist and xenophobic hate crime,Threats,OSCE Office for Democratic Institution and Human Rights,Six migrants were threatened when filmed and forced to shout football slogans by a police officer at a police station.
2019-06,Russian Federation,Anti-LGBTI hate crime,Violent attacks against people,"""Coming Out"" LGBT Group, Russian LGBT Network",A transgender man was murdered by his friend after openly discussing his gender identity and plans to transition.
2019-02,Croatia,Racist and xenophobic hate crime,Attacks against property,OSCE Office for Democratic Institution and Human Rights,A primary school was vandalized with anti-Serb graffiti.
2019-06,Croatia,Racist and xenophobic hate crime,Violent attacks against people,"Croatian civil society coalition, OSCE Office for Democratic Institution and Human Rights","One female and three male seasonal workers, including two Serbs, were physically assaulted by football fans following a game. The perpetrators first demanded to know who among the group was an ethnic Serb. A local firefighter who tried to intervene was also attacked. The victims sustained injuries."
2019-06,Germany,Anti-Christian hate crime,Attacks against property,OIDAC,A Protestant church's windows were broken when a manhole cover was thrown at them during an attempted break-in on the night of a Christian holiday.
2019-06,Germany,Anti-Christian hate crime,Attacks against property,OIDAC,"A Catholic church was vandalized when the glass pane of a shrine was shattered, flower pots were knocked over and candles were destroyed on the night of a Christian holiday. Mirrors in the bathroom were also smashed using a rock."
2019-01,Russian Federation,Anti-LGBTI hate crime,Violent attacks against people,"""Coming Out"" LGBT Group",A gay man was hit on the head with a bottle and stabbed to death with a knife by his partner's brother.
2019-06,Germany,Anti-Christian hate crime,Attacks against property,OIDAC,"A Protestant church was vandalized on a weekly basis. The windows were shattered, graffiti was sprayed on the walls and doors, benches were knocked over, sanitary products were stuck to the walls and rubbish was scattered on the premises."
2019-06,Germany,Anti-Christian hate crime,Attacks against property,OIDAC,A Catholic church was targeted in an arson attack.
2019-05,Germany,Anti-Christian hate crime,Attacks against property,OIDAC,The windows of a Catholic church were damaged when pelted with stones.
2019-05,Germany,Anti-Christian hate crime,Attacks against property,OIDAC,A Protestant church was vandalized when at least seven glass panes were shattered.
2019-05,Russian Federation,Anti-LGBTI hate crime,Violent attacks against people,"""Coming Out"" LGBT Group, Russian LGBT Network","Two lesbian women were subjected to homophobic insults and physically assaulted by a group after they were seen holding hands in a park. One of the victims was struck with a whip on the hip and cheek. After calling out for help, the victims were refused assistance and subjected to homophobic insults and threats by police officers."
2019-03,Bosnia and Herzegovina,"Anti-Roma hate crime, Anti-Muslim hate crime",Attacks against property,"OSCE Mission to Bosnia And Herzegovina, OSCE Office for Democratic Institution and Human Rights",A Muslim cemetery was vandalized when two Roma and two Bosniak Muslim gravestones were knocked down.
2019-06,Austria,Anti-LGBTI hate crime,Violent attacks against people,RKL,"Three gay men were spat at, threatened with violence and subjected to homophobic insults in a restaurant at night following an LGBTI pride parade."
2019-05,Germany,Anti-Christian hate crime,Attacks against property,OIDAC,A church was targeted in an arson attack and desecrated when religious books were set on fire and faeces were left at the entrance to the church and on a bench outside.
2019-10,Ireland,Anti-LGBTI hate crime,Violent attacks against people,OSCE Office for Democratic Institution and Human Rights,A gay man was subjected to homophobic insults and physically assaulted with a hammer and other weapons by a group during a date arranged via social media. The victim sustained facial injuries and was hospitalized. The victim's car was also damaged.
2019-05,Germany,Anti-Christian hate crime,Attacks against property,OIDAC,The entrance and message board of a church were vandalized with graffiti.
2019-05,Germany,Anti-Christian hate crime,Attacks against property,OIDAC,A church was vandalized and targeted in an attempted arson attack at night when the window was shattered with stones and religious statues and objects were broken or burned. The perpetrators also urinated in the aisle and pews of the church.
2019-05,Germany,Anti-Christian hate crime,Attacks against property,OIDAC,An Evangelical church was targeted in an arson attack when a tablecloth was set alight in the vestibule at night.
2019-05,Germany,Anti-Christian hate crime,Attacks against property,OIDAC,"A church was vandalized with graffiti, had its lock broken and was targeted in an arson attack at night. The exterior of the church was also damaged when a lightning rod was broken off the wall."
2019-05,Germany,Anti-Christian hate crime,Attacks against property,OIDAC,An Evangelical church was vandalized with graffiti.
2019-05,Germany,Anti-Christian hate crime,Attacks against property,OIDAC,A chapel had its glass windows shattered with a paving stone at night.
2019-04,Germany,Anti-Christian hate crime,Attacks against property,OIDAC,"A church was broken into at night when the windows, doors and containers were forced open, resulting in extensive damage."
2019-04,Germany,Racist and xenophobic hate crime,Threats,OIDAC,A representative of an Armenian Association who planned to speak at an event held to commemorate the Armenian genocide had to pull out at the last minute after receiving information about a security threat.
2019-04,Germany,Racist and xenophobic hate crime,Threats,OIDAC,"A church received a bomb threat shortly before it was due to hold an event to commemorate the Armenian Genocide, forcing the evacuation of those inside."
2019-04,Germany,Anti-Christian hate crime,Attacks against property,OIDAC,A window of a Catholic church was broken during a break-in.
2019-04,Germany,Anti-Christian hate crime,Attacks against property,OIDAC,A Catholic church was vandalized when a holy water font and candles were damaged and leaflets were scattered on the floor.
2019-04,Germany,Anti-Christian hate crime,Attacks against property,OIDAC,A church was targeted in an arson attack when a brochure was set on fire and wax was poured on the altar cloth.
2019-04,Germany,Anti-Christian hate crime,Attacks against property,OIDAC,"A parish hall of a Catholic church was vandalized when the bathroom sink, toilet bowls and windows were smashed, doors were pulled off their hinges and light fixtures were destroyed."
2019-04,Germany,Anti-Christian hate crime,Attacks against property,OIDAC,A Catholic church was vandalized with anti-Christian graffiti.
2019-04,Germany,Anti-Christian hate crime,Attacks against property,OIDAC,"A church was repeatedly vandalized over the course of a few weeks when a window and bottles of holy water were smashed, wax was poured on the altar and chancel lamp, lightning rods were broken off the exterior and religious literature was scattered. The perpetrators also attempted to force open a donation box."
2019-03,Germany,Anti-Christian hate crime,Attacks against property,OIDAC,"A church was vandalized and damaged when objects were covered in wax, rocks were thrown inside the church, pamphlets were torn up and scattered, and two hymn books were stolen."
2019-02,Germany,Anti-Christian hate crime,Attacks against property,OIDAC,A Catholic church was targeted in an attempted arson attack.
2019-02,Germany,Anti-Christian hate crime,Attacks against property,OIDAC,"A church was vandalized when religious texts were damaged and the pages torn out, an Easter candle was smashed, the literature stand was destroyed and the holy water font was emptied."
2019-02,Germany,Anti-Christian hate crime,Attacks against property,OIDAC,A church was targeted in an arson attack when the annex for set on fire.
2019-02,Germany,Anti-Christian hate crime,Violent attacks against people,OIDAC,"An Iraqi Christian man was threatened with a knife, punched in the face and beaten after the perpetrators asked the victim about his Christian tattoo."
2019-02,Germany,Anti-Christian hate crime,Attacks against property,OIDAC,A church was vandalized when smeared with paint late in the evening.
2019-01,Germany,Anti-Christian hate crime,Violent attacks against people,OIDAC,A Christian Iraqi man was shot dead by his partner's brother due to his religion.
2019-01,Germany,Anti-Christian hate crime,Attacks against property,OIDAC,A church was vandalized with graffiti.
2019-01,Germany,Anti-Christian hate crime,Attacks against property,OIDAC,A Greek Orthodox church was vandalized when windows and a glass ornament above the front door were shattered.
2019-01,Germany,Anti-Christian hate crime,Attacks against property,OIDAC,An Evangelical church was vandalized for the second time in two months when its window was smashed.
2019-01,Germany,Anti-Christian hate crime,Attacks against property,OIDAC,A Russian Orthodox church was targeted in an attempted arson attack when a candle and liquid accelerant were used to set fire to the entrance.
2019-01,Germany,Anti-Christian hate crime,Attacks against property,OIDAC,A Catholic church was vandalized with graffiti.
2019-11,Greece,Anti-Christian hate crime,Attacks against property,OIDAC,"Three churches in the same area were vandalized and targeted in arson attacks in the space of a week. In one of the churches, windows were broken, the altar was set on fire and a bible and other objects were burned."
2019-03,Russian Federation,Anti-LGBTI hate crime,Violent attacks against people,"""Coming Out"" LGBT Group, Russian LGBT Network","A transgender woman undergoing medical transition was subjected to transphobic insults and threats, sexually harassed and repeatedly slapped and punched in the head by police officers. The perpetrators also photographed the victim without her permission and later posted the photos on social media."
2019-02,Russian Federation,Anti-LGBTI hate crime,Violent attacks against people,"""Coming Out"" LGBT Group, Russian LGBT Network","A gay man was subjected to homophobic insults and threats, grabbed by the hair and had the LGBTI-related contents of his rucksack thrown at him by a doctor. The incident occurred while the victim was tied to a bed in the psychiatric ward of a hospital."
2019-07,Russian Federation,"Disability hate crime, Anti-LGBTI hate crime",Violent attacks against people,"""Coming Out"" LGBT Group, Russian LGBT Network",A transgender man was subjected to transphobic and homophobic insults and threats and an attempted rape by other patients in a mental health facility. Hospital staff were present during the incidents but repeatedly refused to intervene. This was one of two incidents targeting LGBTI patients at the hospital.
2019-09,Russian Federation,Anti-LGBTI hate crime,Violent attacks against people,"""Coming Out"" LGBT Group, Russian LGBT Network",A teenage girl was subjected to homophobic insults and beaten by her classmates in the bathroom of a vocational college.
2019,Russian Federation,Anti-LGBTI hate crime,Violent attacks against people,"""Coming Out"" LGBT Group, Russian LGBT Network","A gay man was beaten, threatened with criminal prosecution and blackmailed by police officers, who extorted money from the victim. The victim had been detained by the police after being tricked into attending a date arranged via social media."
2019-02,Russian Federation,Anti-LGBTI hate crime,Violent attacks against people,"""Coming Out"" LGBT Group, Russian LGBT Network","A gay man was beaten, threatened with criminal prosecution and blackmailed by police officers after being tricked into attending a date arranged via social media. The victim sustained injuries."
2019-02,Russian Federation,Anti-LGBTI hate crime,Violent attacks against people,"""Coming Out"" LGBT Group, Russian LGBT Network","A gay man was abducted, blackmailed and threatened with criminal prosecution by a group posing as police during a date arranged via social media. The perpetrators also extorted money from the victim. Similar incidents were committed by the same group in the area a few days prior."
2019-03,Russian Federation,Anti-LGBTI hate crime,Violent attacks against people,"""Coming Out"" LGBT Group, Russian LGBT Network","A gay teenage boy was knocked to the ground and followed on a date arranged via social media, resulting in injuries."
2019-05,Russian Federation,Anti-LGBTI hate crime,Threats,"""Coming Out"" LGBT Group, Russian LGBT Network","A female volunteer and the male co-ordinator of an LGBTI support programme were subjected to death threats by a group, some of whom posed as police, that had broken into the volunteer's accommodation."
2019,Russian Federation,Anti-LGBTI hate crime,Violent attacks against people,"""Coming Out"" LGBT Group, Russian LGBT Network","A bisexual woman was subjected to homophobic threats, humiliated and injected with tranquilizers while forcibly restrained by her relatives, who had recently learned of her sexual orientation."
2019,Russian Federation,Anti-LGBTI hate crime,Violent attacks against people,"""Coming Out"" LGBT Group, Russian LGBT Network","A bisexual woman was beaten in the stomach with a stick and groped in the stomach, genitals and thighs while the perpetrator recited religious texts. The incident occurred at a psychiatric clinic where the victim was forced by family members to undergo ""conversion therapy"" for a five-month period. The victim had previously been physically assaulted by her relatives after she disclosed her sexual orientation."
2019-11,Kazakhstan,Anti-LGBTI hate crime,Violent attacks against people,Kok.team,"A gay man was abducted by his parents, with the help of an individual hired by his parents and a police officer, and taken to another town. The victim was subjected to homophobic threats of death or detention in a psychiatric hospital. The victim was previously physically assaulted by his parents due to his sexual orientation."
2019,Kazakhstan,Anti-LGBTI hate crime,Threats,Kok.team,A gay man was repeatedly subjected to homophobic threats by the parents of the victim’s partner. The victim’s partner was previously subjected to threats by his parents due to his sexual orientation.
2019-12,Kazakhstan,Anti-LGBTI hate crime,Violent attacks against people,Kok.team,A gay man was abducted and subjected to homophobic death threats by his relatives. The victim was previously threatened and physically assaulted by his parents due to his sexual orientation.
2019-12,Kazakhstan,Anti-LGBTI hate crime,Violent attacks against people,Kok.team,"A gay man was punched by his partner’s parent, resulting in injuries. The victim and his partner were previously threatened by the same perpetrator."
2019-12,Kazakhstan,Anti-LGBTI hate crime,Violent attacks against people,Kok.team,"A gay man was abducted by a group of relatives, forcibly taken to a mullah for ""conversion therapy"" and later forced to undergo brain surgery due to his sexual orientation. The victim was previously abducted and physically assaulted by his relatives."
2019-04,Austria,Anti-Semitic hate crime,Violent attacks against people,"Forum Against anti-Semitism, Jewish Communities of Vienna","A two-year-old child, visibly identifiable as Jewish, was pushed from behind and subjected to anti-Semitic insults while riding the metro with their mother and sibling."
2019-10,Austria,Anti-Semitic hate crime,Violent attacks against people,"Forum Against anti-Semitism, Jewish Communities of Vienna",A Jewish teenage boy wearing a kippa was kicked and subjected to insults on the tram.
2019-10,Austria,Anti-Semitic hate crime,Violent attacks against people,"Forum Against anti-Semitism, Jewish Communities of Vienna","A Jewish man walking from synagogue on Yom Kippur with his family, including two small children, was subjected to anti-Semitic insults and punched in the face by a driver. The victim sustained a broken nose."
2019-04,Austria,Anti-Semitic hate crime,Threats,"Forum Against anti-Semitism, Jewish Communities of Vienna",A Jewish man wearing a kippa was subjected to anti-Semitic insults and threatening behaviour while walking with his wife and child during Sabbath.
2019-12,Austria,Anti-Semitic hate crime,Threats,"Forum Against anti-Semitism, Jewish Communities of Vienna",Two Jewish teenage boys wearing kippas were subjected to anti-Semitic insults and death threats in a metro station.
2019-01,Austria,Anti-Semitic hate crime,Attacks against property,"Forum Against anti-Semitism, Jewish Communities of Vienna",The home of a Jewish family was vandalized with swastika graffiti and the mezuzah was removed from the front door during a house party.
2019-05,Austria,Anti-Semitic hate crime,Attacks against property,"Forum Against anti-Semitism, Jewish Communities of Vienna",A remembrance installation portraying Holocaust survivors was repeatedly vandalized with swastika and anti-Semitic graffiti and was later torn up.
2019-07,Austria,Anti-Semitic hate crime,Attacks against property,"Forum Against anti-Semitism, Jewish Communities of Vienna",A building at a Jewish cemetery was damaged when its windows were broken. The property had been targeted in a similar incident two years previously.
2019-03,Portugal,Anti-LGBTI hate crime,Violent attacks against people,ILGA Portugal,A gay man and his two friends were subjected to homophobic insults and had a rock thrown at them in the street.
2019-05,Portugal,Anti-LGBTI hate crime,Threats,ILGA Portugal,A gay couple was threatened with violence and subjected to homophobic insults by a group.
2019-04,Portugal,Anti-LGBTI hate crime,Threats,ILGA Portugal,A gay couple was subjected to homophobic insults and threatened by a neighbour.
2019-07,Portugal,Anti-LGBTI hate crime,Violent attacks against people,ILGA Portugal,A lesbian couple was subjected to homophobic insults on the metro. A woman who tried to intervene was grabbed by the face and subjected to homophobic insults and threats.
2019,Portugal,Anti-LGBTI hate crime,Threats,ILGA Portugal,A lesbian couple were threatened by a man who followed them in his van while uttering homophobic insults.
2019-07,Portugal,Anti-LGBTI hate crime,Threats,ILGA Portugal,A transgender person was threatened in public.
